"country","Calcium","DHA+EPA","Iron","Vitamin A","Vitamin B12","Zinc"
"Albania",0,0,0,0,0,0
"Algeria",-0.00590480908093127,0,-0.00162955508461124,-0.016146197310281,-0.542499088411164,-0.029993250261465
"Angola",-0.63782968538419,-0.598185588283356,-5.78871707861971,-1.92837359931962,-19.4911629931754,-6.29083746461781
"Antigua & Barbuda",0,0,0,0,0,0
"Argentina",0,0,0,0,0,0
"Armenia",0,0,0,0,0,0
"Australia",-4.38766981858407e-07,0,-2.49664267037986e-08,-8.84300600400597e-19,0,-9.66469682062154e-11
"Austria",0,0,0,0,0,0
"Azerbaijan",0,0,0,0,0,0
"Bahamas",0,0,0,0,0,0
"Bangladesh",-0.000419465942911756,-0.00190755401806353,-0.00225415367494008,-0.0461036124905121,-0.0172278976957045,-0.0023445093175134
"Barbados",0,0,0,0,0,0
"Belarus",0,0,0,0,0,0
"Belgium",0,0,0,0,0,0
"Belize",0,0,0,0,0,0
"Benin",0,0,0,0,0,0
"Bolivia",0,0,0,0,0,0
"Bosnia & Herzegovina",0,0,0,0,0,0
"Botswana",0,0,0,0,0,0
"Brazil",-6.91750301484717e-09,0,-1.33646107514096e-08,-8.16627654387503e-09,0,-3.10329480212104e-12
"Bulgaria",0,0,0,0,0,0
"Burkina Faso",0,0,0,0,0,0
"C<f4>te d<U+0092>Ivoire",-0.513755448872686,NA,-7.53324446350634,-2.20104512547794,-0.0591018706986661,-4.62593678440166
"C<f4>te d<U+0092>Ivoire",NA,-49.3324304610138,NA,NA,NA,NA
"Cambodia",0.066204888546423,0,1.07019499985342,-1.66691456685611,0.0925110592751182,0.554816702824059
"Cameroon",0.23770267925255,-7.64443232901868,-0.0977740337481761,-0.0488325040170636,-2.00962602725143,-0.139734700421382
"Canada",-0.0713107208115389,0,-0.00698567482895307,-0.0449554668977505,-0.561556354425093,-0.00121032690756234
"Cape Verde",3.507925053191,99.4904855995956,88.9035426185226,59.1430092344289,47.9766857778842,88.9815019007785
"Central African Republic",0,0,0,0,0,0
"Chad",0,0,0,0,0,0
"Chile",0.407285498898119,0.794516517931319,0.0505696600307037,0.435629854517856,0.00823237793558786,0
"China",2.64748210522175,3.16958072720467,1.00984355078321,0.0299343065597309,0.0145004780901699,0.0993656540817819
"Colombia",-1.97502458831877e-10,-2.81861005646533e-08,-1.73476877307621e-09,-5.70248293030318e-11,6.56332273143882e-28,-1.69379552050763e-10
"Congo - Brazzaville",-2.7526406175552,-28.8566666319667,-17.2236280231726,-4.54798714674321,-5.92107682001834,-5.03360997279502
"Costa Rica",0,0,0,0,0,0
"Croatia",0,0,0,0,0,0
"Cuba",0,0,0,0,0,0
"Cyprus",0,0,0,0,0,0
"Czechia",0,0,0,0,0,0
"Denmark",0,0,0,0,0,0
"Djibouti",-0.00349912527971696,-0.357159281262078,-0.00917735979738588,-0.00677717566601643,-0.100650228063849,-0.0293542402518625
"Dominica",0,0,0,0,0,0
"Dominican Republic",0,0,0,0,0,0
"Ecuador",0,0,0,0,0,0
"Egypt",0.205812933742678,0,0.0119819553373872,2.6190127243305,1.8052183084194e-10,0.00903932241911591
"El Salvador",0,0,0,0,0,0
"Estonia",0,0,0,0,0,0
"Ethiopia",0,0,0,0,0,0
"Fiji",-1.60676063387655e-06,0,-7.23987779727153e-07,-4.01641987668455e-07,-9.70483104577487e-09,-4.8356819952744e-06
"Finland",0,0,0,0,0,0
"France",0,0,0,0,0,0
"Gabon",-19.5491548280483,-19.7945389839725,-4.57674793867542,-3.11450921044718,-5.34613013051861e-12,-8.65869746974096
"Gambia",-4.54082789000203,-52.2034485528995,-0.000371723907001798,-1.34359877663601,-50.246731458932,-0.0176159747792497
"Georgia",-2.06171170276156,-1.295724975841,-0.182695550477364,-2.10112003275696,-1.9388155505489,-1.69475007400201
"Germany",0,0,0,0,0,0
"Ghana",-0.0234785490676472,-4.17808696167551,-0.0111049012764347,-0.342933687087779,-2.13891621290098,-0.0277140672054679
"Greece",0,0,0,0,0,0
"Grenada",0,0,0,0,0,0
"Guatemala",0,0,0,0,0,0
"Guinea",-22.4677864464147,-63.5166072802418,-57.4006966618546,-53.1924381991121,NA,-60.2442691653736
"Guinea-Bissau",-99.9432494904486,-26.31212500276,-23.4140443175875,-89.5123749705558,-65.1273408290937,-59.4162108066912
"Guyana",0,0,0,0,0,0
"Haiti",0,0,0,0,0,0
"Honduras",0,0,0,0,0,0
"Hong Kong SAR China",36.6962601583011,99.7247562744965,53.5272293950669,12.1856249832619,0,6.89151539356623
"Hungary",0,0,0,0,0,0
"Iceland",-3.06273499805532,0,-0.0246681217177247,-0.330102840358728,-6.27981638647025e-15,0
"India",0.0179621547186883,0.0338664480263375,0.0240590714490274,-0.0225294364793029,0.260887832743045,0.0566733779372477
"Indonesia",-0.123382825002849,0,-0.47106845323319,-4.87522540626062,-3.55558412502157,-0.425716702566531
"Iran",0,0,0,0,0,0
"Iraq",0,0,0,0,0,0
"Ireland",0,0,0,0,0,0
"Israel",0,0,0,0,0,0
"Italy",0,0,0,0,0,0
"Jamaica",0,0,0,0,0,0
"Japan",-10.883187828748,-0.853058354574387,-7.23851823637989,-34.3466462565406,-0.000142248690234042,-2.57642800537521
"Jordan",0,0,0,0,0,0
"Kazakhstan",0,0,0,0,0,0
"Kenya",0,0,0,0,0,0
"Kiribati",-9.33516991068473e-05,-0.000530975099271025,-3.66330054291097e-05,-3.25003857852835e-05,-0.000421246071134362,-1.37525402550409e-05
"Kuwait",0,0,0,0,0,0
"Kyrgyzstan",0,0,0,0,0,0
"Laos",0,0,0,0,0,0
"Latvia",0,0,0,0,0,0
"Lebanon",0,0,0,0,0,0
"Lesotho",0,0,0,0,0,0
"Liberia",-0.869457371201293,-78.0823318646616,-13.4511514340523,-2.71111499599171,-48.6253619048896,-8.17072299929935
"Lithuania",0,0,0,0,0,0
"Luxembourg",0,0,0,0,0,0
"Macao SAR China",0,0,0,0,0,0
"Madagascar",0,0,0,0,0,0
"Malawi",0,0,0,0,0,0
"Malaysia",0.395544256131132,0,0.442743978439745,-13.8139754195066,0.116178133143067,0.893302284985596
"Maldives",0,0,0,0,0,0
"Mali",0,0,0,0,0,0
"Malta",0,0,0,0,0,0
"Mauritania",-1.43436523467152,0,-0.0114630985699322,-1.06964832593862,-0.00646199823951426,-0.0410252419710663
"Mauritius",0,0,0,0,0,0
"Mexico",0,0,0,0,0,0
"Moldova",0,0,0,0,0,0
"Montenegro",-3.31086623361898e-06,-0.000887353561928705,-1.12778335289998e-06,-5.4836181262452e-07,-4.0241518219131e-13,-2.47194479249779e-14
"Morocco",-34.9116464191821,0,-0.120986149014365,-12.8931827167523,-3.41422849874877,-1.15953117043492
"Mozambique",0,0,0,0,0,0
"Myanmar (Burma)",-0.0574873817845543,0,-0.109173139319392,-14.8117284259139,-0.0111430481441274,-0.0622186269643663
"Namibia",-96.8119132870432,-55.8118451334936,-3.32401971854588,-58.0154134256638,-8.96903461967034,-10.9464645067067
"Nepal",0,0,0,0,0,0
"Netherlands",0,0,0,0,0,0
"New Zealand",-6.85563379298857,0,-1.15717055920006,-0.0128896824237634,-0.0201561314084397,-0.269886048713427
"Nicaragua",0,0,0,0,0,0
"Niger",0,0,0,0,NA,0
"Nigeria",-1.80590713227957e-06,-0.000945529358340025,-2.18944941563493e-05,-1.9757339799753e-05,-0.000140415127575011,-3.33892887596221e-05
"North Korea",0,0,0,0,0,0
"Norway",14.698470241888,0,0.172137455829597,2.62196913392568,97.4035534670555,0.0358014813977111
"Oman",0,0,0,0,0,0
"Pakistan",-1.90432413518238e-05,-0.000654528340533034,-2.17003116986803e-05,-1.11747440172394e-05,-0.000139449509493517,-5.15403143594995e-05
"Panama",0,0,0,0,0,0
"Paraguay",0,0,0,0,0,0
"Peru",-0.369413130058902,-0.823173151566985,-0.103169308455656,-2.3791668333998e-05,0,-0.0049314107623158
"Philippines",0.000461166487312425,-1.47577991980916,-0.173462805291411,-2.15300358133311,-0.874719466585947,-0.261878553353174
"Poland",0,0,0,0,0,0
"Portugal",0,0,0,0,0,0
"Romania",0,0,0,0,0,0
"Russia",-5.86149420481847,-6.77286970035527,-0.188031059723098,-0.609346647223002,-3.10668356481504e-08,-0.00402716084535383
"Rwanda",0,0,0,0,0,0
"S<e3>o Tom<e9> & Pr<ed>ncipe",0,NA,0,0,0,0
"S<e3>o Tom<e9> & Pr<ed>ncipe",NA,0,NA,NA,NA,NA
"Samoa",0,0,0,0,0,0
"Saudi Arabia",0,0,0,0,0,0
"Senegal",-0.00879864359086469,25.949797805073,9.92776627464227e-12,21.2604891551432,39.5004452610153,1.18883475824386e-08
"Serbia",0,0,0,0,0,0
"Sierra Leone",-2.80661131045898,-46.5262631063343,-14.5582662602784,45.086360257323,-44.825398168741,-39.4303632467463
"Slovakia",0,0,0,0,0,0
"Slovenia",0,0,0,0,0,0
"Solomon Islands",-1.63269473034688e-05,-0.000117583621246808,-3.04485756430495e-06,-9.56543914822777e-10,-5.01831699608601e-05,-2.87475704396911e-06
"South Africa",0.00405495207353113,0,0.0137816367865362,0.00939958068499536,0.0168791420682721,0.0028311040675506
"South Korea",-5.81793927879939,0,-4.8443607812775,-6.44371006414083,-4.76601658891762e-15,-0.281140206586846
"Spain",0,0,0,0,0,0
"Sri Lanka",-0.97673408350974,-16.8334913395326,-1.54724951417962,-0.594306643156663,-19.3774057594489,-2.34081016646691
"St. Kitts & Nevis",0,0,0,0,0,0
"St. Lucia",0,0,0,0,0,0
"St. Vincent & Grenadines",0,0,0,0,0,0
"Suriname",0,0,0,0,0,0
"Sweden",0,0,0,0,0,0
"Switzerland",0,0,0,0,0,0
"Taiwan",0,0,0,0,0,0
"Tanzania",0,0,0,0,0,0
"Thailand",0.391699000400877,0,2.97659254037847,50.4885426687326,7.59881876952702,2.96619768966959
"Timor-Leste",0,0,0,0,0,0
"Togo",-0.180353036730395,-59.7135624197225,-1.8787898551517,-0.443112046785259,-15.5195189344546,-2.0108045737843
"Trinidad & Tobago",-0.89763248323834,0,-0.044311602957996,-0.748874114909206,-3.13987833848259,-0.0720776871044435
"Tunisia",-0.338443659813223,0,-0.00694348701645407,-2.26302065089221,-1.70445366646291,-0.461442526451107
"Turkey",0.105749436296769,3.35205857753991,0.00174275617960995,0.0292219076501823,0.0941831791083527,0.00686965863728106
"Turkmenistan",0,0,0,0,0,0
"Uganda",0,0,0,0,0,0
"Ukraine",0.388501605298387,15.5298436500205,0.106082264191139,14.269349904261,1.73578968629085,0.337995220417636
"United Arab Emirates",0,0,0,0,0,0
"United Kingdom",-4.89399333523252,0,-0.234824503803795,4.14984983846903,-0.182367500660831,-0.00190063635821965
"United States",-0.46856682671433,0,-0.0623764650370671,2.35254326560764,-0.0268574856363909,-0.000170440570923313
"Uruguay",0,0,0,0,0,0
"Uzbekistan",0,0,0,0,0,0
"Vanuatu",0.0716111675987605,22.724330411364,0.44877681961002,0.104219386049621,7.55858290085742,2.72901351584035
"Venezuela",0.00386469038379289,0,0.065183888426084,0.0415758319390367,2.83320814614909e-06,0.0380461735287225
"Vietnam",-1.6139314835923,-0.00101279842734669,-2.81844763205071,-19.9529108601953,-2.80377083399994e-05,-0.634270284802232
"Yemen",-0.0732034665867474,5.7063271292532,-0.0781651739613469,-33.8291595106828,2.01088165469172,-1.01991577017881
"Zambia",0,0,0,0,0,0
"Zimbabwe",0,0,0,0,0,0
